Name,Review_Date,Review,Owner_Response,Response_Date,Response
Guvvadi Priyanka,3 years ago,"Ambiance was not soo good!!
vegetarian buffet has not much of varieties. Main course food taste is the worst i can say. In desserts pastries are sour and pan flavored icecream was good..",,,
Sai Hemanth,2 years ago,"Better avoid this 3bs restaurant just because they are lacking in service
They have hardly  3 or 4 people to serve all tables and they took 1hour of time to serve me 4 varieties of starters( I have visited at 8:50pm they started …",,,
Mohammed Tahir Shariff,4 years ago,We visited on 31st Dec for my 6 year old daughters birthday at 8.30 PM. It was my second visit. The barbecue starters were not that impressive and the quality and taste was not good. Did not get proper response when asked for a …,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Aarti Passi,5 years ago,"It was nice when it is started..but now..food quality has deteriorated.even the ambience is really sad...they wont deny u reservation and can make u sit near the kitchen or anywhere near there store room. A total waste of money now...on basis of recent 3-4 experiences , it deserves 2 rating.. A total waste of money.",,,
Suvigya Agrawal,3 years ago,"It's interesting that the place is deteriorating with time. For vegetarians, it has very less to offer now.
Apart from that, if you are visiting with a large group and you are a handful of …",,,
Abhishek Yadav,3 years ago,Taste of food was not so good as expected after having it me n my friend both lost our taste buds specially the American crispy corn and the tandoori pineapple was not good and the hospitality was not too good in comparison to others. …,,,
Vasudev D,2 years ago,"This is my 5th visit to Gachibowli ABs. Starting from Valet parking everything is bad experience.
1. Driver at Valet parking asked me to park myself. …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vinay Kumar,10 months ago,Unable to meet demand..waste of time and money...you have to wait for plates..cups...starters 😞😞...not visiting again ... vegetarian not even think about this place …,Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-335795) on …"
Lokesh Vanam,3 years ago,We have reserved a table for 2 persons @6:30 evening . They showed us the table and the service was literally very bad . Its been 20 minutes they haven't given us the place and the taste was not that good we asked for somechanges they …,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Siva Sankar,5 years ago,"Worst service here. The staff was not sincere in their work while serving Barbeque items, water, maintaining the spoons at the lunch plates, etc. By the way they skipped complementary drinks too. The Jubilee Hills branch is more better than this Gachibowli branch.",Response from the owner,5 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Ch Rahul,3 years ago,"Had a lot of hopes on this place as i was meeting my friends after 2 long years and it disappointed me in every way, we had to remind the waiters about the starters again and again and again and still didn't receive them after multiple …",Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Suresh Purini,6 years ago,Waiters just won't let you eat in peace. They keep bothering you time and again. Food quality is average. Too noisy. As in any other ABB place they breath down on you until you give a 5 star rating in the feedback.,,,
devadi madhav,3 years ago,The cost of mocktails is too much..199. I was shocked to see even water bottle cost at 199.Taste is below average. Items not grilled. They are not cooked properly.Tomoto soup feels like cooked with rotten tomatoes. Even fish and prawns …,Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sangeeth Srinivas,3 years ago,"Review on take away order via Swiggy in Abs style :
Absolutely good - packaging and taste
Absolutely disappointed- missing items from the package with what’s mentioned in …",Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Malavika Nair,3 years ago,"I am very disappointed with the quality of ABs. This is probably my fourth or fifth time coming here and I was so shocked to see the drop in its quality.
Firstly, it was way too crowded and there were not enough staff to handle the …",,,
Bhaskar Roy (Monty),2 years ago,I made a advance booking online through their app for a weekend at 4 pm. They didn’t honor our reservation when I reached there. Crazy local ill-mannered crowd. Poor crowd management. Wasted my hour drive and fuel. Wont ever go there again.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Farial Mridul,6 years ago,Their food is just ok. No wow factor. The restaurant is apparently run by ppl from West Bengal who I know have great sense of taste. But the food they serve I feel they lack in taste and flavors.,Response from the owner,6 years ago,"Dear Guest

Thank you for reviewing us. We indeed look forward to have you with us soon. Now …"
Nagaraju Koppu,2 years ago,"Horrible experience.

They have a habit of accepting more bookings and making customers to wait …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Tulja Buyakar,3 years ago,"Last Sunday, our group planned for AB expecting a good time since we were meeting up after a 8 months gap (due to COVID), however the experience was pathetic. What has blown my mind is the horrible hospitality and lack of attentions to …",,,
Sanjeev,5 years ago,I went to this place more than five times. But this time I felt like routine taste. They served 3 varieties of chicken recipes but everything tastes same. Moreover main course got very limited varieties like checken biryani with an average …,,,
Cp Raj,3 years ago,Service is ok. Food tastes really bad. Ambience is ok. Air-conditioning is a mess. They actually turned off the Air-conditioning even while scores of people were still eating. Not worth the time.,Response from the owner,3 years ago,"""Hi, CP Raj,

We regret the inconveniences you have faced and request you to share your …"
Irfan Shaikh,7 years ago,Quality of food is drowning in the efforts to make majority of customers happy by making everything way too much spicy. Staff will keep coming back to you asking about the quality of food but won't make any changes even if you keep asking …,,,
mohiddin shariff,4 years ago,"A little suffocating, constructed in a small place, very little place to walk around and explore the menu, too slow service, had to call 5-6 times for water, 5-6 times for every single snack.. Madhapur branch is 1000 times better I just love Madhapur branch but thumbs down for Gachibowli Branch",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Monna Kapaddiaa,3 years ago,AB's Gachibowly has been a good place from the time they have opened. But this time it was not at all worth going. It's all about food.. The BBQs were extremely tasteless and we had been served burnt left overs from other table at first. …,,,
vjay kumar,6 years ago,"Starters are awesome coming to main course
Chefs need to focus on improving by making Hyderabad Authentic biryani and curries mutton curry was not boiled it's half boiled we were expecting more from abs …",Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Ritika Thakur,4 years ago,Went for dinner here with lots of hope as it was recommended by a lot of people. …,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Sharan Adla,6 years ago,Same old varieties of food items. It could have been better if they are willing to add new items to the menu. …,Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Praveen Reddy,6 years ago,"Small place,Crowded and congested. Ambience is also not great.There is no WOW factor in any of the food items for both Veg and Non-vegetarian.Veg starters are simple and just ok. …",Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
vijay kumar,5 years ago,"1) Delay in table despite reservation
2) Conggested seating and tried to accommodate 12 in a table of 10
3) Water spillage while keeping the grill …",Response from the owner,5 years ago,"Dear Guest,

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
michel michek,5 years ago,"Never visit AB'S if you are spending 950 per person. You have the option to eat rabbit, emo but are not slaughtered halal. …",Response from the owner,5 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
RS,6 years ago,"My review is based on comparing with Barbecue Nation.
1. Barbecue Nation was cleaner compared to AB
2. Quality of Starters is Pathetic. Not grilled …",Response from the owner,6 years ago,"Dear Guest

Thank you for rating us. We indeed like to know the reason behind rating it …"
peace 1,7 years ago,Very Limited option in starter and main course and taste is quite average.Dessert is also very common. Staff is not prompt and does too much of unwanted talks. Better not to visit.,,,
dell sony,2 years ago,Ahh average.... The Mayonnaise is awful....... It's like liquid........  Air conditioning is huffff what can i tell you....... Horrible..... Better don't give a try.....,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sanjay sahoo,5 years ago,"Food was  average
Service was superb",,,
chandra mohan,6 years ago,Very congested. Main food street and entrance to dining tables are same. Very small space for main food street compare to other branch. Sitting arrangement is also very congested. Its looks like at place of 3 chairs they are providing 4 chairs to seat,Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Naresh Pillella,6 years ago,Well I Didnt Like It ..... For vegetarians it makes no sense at all .... And the menu dint even have a cool beverage for package option.... Mutton was yuck and fish was uneatable... Chicken was average....,,,
Ashok Babu Kandula,4 years ago,It may be a bad day otherwisezsA I never heard the kind of feedback that I actually experienced. The starters limitedly served. The barbeque items are neither cooked nor the charcoal is generating any heat to help ourselves. There aren't …,,,
Vishhno Kannamangalam,5 years ago,"Visited on 5th Dec, slow in serving, three starters repeated several times. Veg and chicken biryani is only main course... Not worth the price... There are many others options available than 3B's",,,
Netaji Bandi,8 years ago,"Visited couple of times, while for the first time experience is reasonably good but my second visit is horrible. …",,,
Rakshit Jha,3 years ago,"As I am a regular customer, I have purchased the corporate package which includes 2 drinks each. There were 3 members along with me, it's just that we wanted one more drink that is the 7 drink, but unfortunately they are only bothered about money and it doesn't matter for them weather i am a regular customer or not.",,,
Priyanka Pariyal,2 years ago,"Service - poor
Starters - not good ( non veg starter -1⭐, in veg starter crispy corn and hara bhara kebab was good) …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Rahul Mishra,6 years ago,"We asked table for 6. We are 2 veg and 4 non-veg. But they provided only one barbeque. How will a veg guy eat from same barbeque, where already non-veg is kept. Waiter are good so I have 2 but manager are worst.",Response from the owner,6 years ago,"Dear Guest
We Sincerely apologies for the Inconvenience at Our Place We Request You to please share Your Contact details on 8088022241 we shall Connect and Understand …"
Sam Ranchoo,4 years ago,Food is not worth the price.  Really hated starters. Even ice cream is of poor quality. Never gonna visit this place again. 2 star for services only not for food,,,
Dev Devi,4 years ago,"Food is superb,We had to wait alot for drinks ordered,we celebrated gets here with 15mem,place was a big problm ppl sitting in middle faced alot of prob,butter naan has to be ordered and they serve late which really irritates alot",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
ashok .v,4 years ago,"No proper food after 9:30 pm manu says something live says something manu says 2 main curry's, live once 1. No soups both veg and non veg, fruits are less, in manu + Mocktail we can see but in live it's extra charges apply. We can see 4 or …",Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Shivananda Lanka,5 years ago,I usually prefer to dine at places where ambience plays an equally important role as the food served. This place in a nutshell reminded me of a truck drive-in. It's a carbon copy of barbecue nation and a horrible rip off too. Please don't bother going.,Response from the owner,5 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
rahul adepu,5 years ago,Its more like a bar as the restaurant name itself indicates...the buffet was 500 only and serves just 3 nonveg starters cooked in its parent restaurant ABSOLUTE BARBEQUE. The waiter gets all the food from there itself. Better to go ab's instead of 3b's by paying 200 extra if you want to enjoy for the fullest and get the finest food.,,,
Manohar Mandalapu,5 years ago,"You(ABs) are getting old by everything. It's time for you to retire or invest yourself better. Worst food experience, ambience, air conditioning, overcrowded for nothing. To all the people out there, go find a better restaurant. Sorry no pictures.",Response from the owner,5 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Imandi Rammohan,5 months ago,Not worth the food is damn bad,,,
akhila vaddi,3 years ago,"Very crowded place, accepting lots of bookings even in the covid time and making people to feel more congested. Have to think when we opt this for a fine and peaceful dining.",Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Dharma Donepudi,2 years ago,Please start keeping signs that the restaurant will be closed by 10:30. Because people might come in hungry for food. And try keeping the restaurant clean atleast based on the recent COVID-19 situation.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Anil Nekuri,6 years ago,Very pungent smell soon you enter. Food quality and taste is not good. I felt original barbeque nation is good. They maintain same standard all the time,Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Ravindra Nirukonda,6 years ago,"Food is very very bad taste.
Except fish fry nothing is good. Expected in high range but completely desappointed. …",,,
rajesh babu sambhana,3 years ago,Not as expected...very limited variates.food is not good n not fresh.cakes were not fresh and smelly.prawns is not available but still same price.they changed after we asked for fresh cakes.waste of the money.,,,
Nitin G,6 years ago,Food was very spicy. Ambience is extremely loud. Place was not clean. And the waiting time was more for the food to arrive. Overall a very decent experience.,,,
Laxmi Priyanka,2 years ago,"Ambience is not so good. Very noisy.
Food quality is bad sometimes causing headaches and vomit",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Zafeer Mohamed,6 years ago,Poor Quality! Dirty glass and plates!! Reported when water was tasting foul and did not seem like the manager accepted it despite 5 of us complaining.,Response from the owner,6 years ago,"Dear Guest

We sincerely apologies for the inconvenience caused. We are indeed concerned on …"
Vinai Edupuganti,6 years ago,"This place was noisy as always and the food was just ok. Went there for team celebration. Because of the songs played, we couldn't hear each other..... Need lot of improvement in making the place ready for corporates...",Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
shiva subramanyam,5 years ago,Prawns and fish were overcooked. The brazilian food festival when I was there sucks. Not a single dish suitable to local apetites. Only saving grace is the service.,Response from the owner,5 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Surendra Kumar,2 years ago,"I don't like their service, they brought leftover food of other table,burnt very much,didn't bring items until we asked",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Parag Agrawal,5 years ago,Food ain't great. I saw people enjoying their evening drinks there . They have buffet packages. Make reservations before visiting,,,
Narendra Parihar,a year ago,"The service was not good, and the ambience was not good at all. There was a lot of smoke everywhere, and we had to wait for a food after getting table.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
venkat krishna,2 years ago,"Worst service seen ever compared to all the branches, we are paying 900rs for buffet and we should call the service person for every item every time, they were least bothered to attend table, no veg starters served, to get a spoon from them it took 10mins..",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sunil babu,6 years ago,"Expect Only chicken wings whatever you order.Left over from ABs are cooked and served here like chicken legs at ABs , wings at 3Bs. Breast at ABs , neck at 3Bs. Overall okay , good for boozers",,,
Sathish Babu,a year ago,"Veg food is not upto mark. Worst.
My friends enjoyed non veg starters, which is known for.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rishabh Kokra,7 years ago,"Food not good neither their service. In welcome drink you will get cold water!
Very bad experience",,,
alluri srinivas,4 years ago,We came for  buffet dinner  two times with my team. Service is worst and they are not listening what we say . Staturs  are not sufficient and no food it's  available for 9:30 slot. If we ask any stater items they will get after 20 to 30 Min. Please make sure it's shouldn't repeat again.,,,
Sanjay Bist,5 years ago,Service for vegetarians is very slow. Waited for 20mins for first starters to arrive. Can improve their services vastly.,Response from the owner,5 years ago,"Dear Guest,

Thank you for reviewing us. We will indeed look forward to have you with us …"
Kishore K,6 years ago,Quality of food is gone down. They need to improve quality. 15 member team outing and none of them were satisfied!,,,
abdul khader al-gilani,2 years ago,Simply overrated. Only a few things you could actually eat to fill your stomach or else a lot of good gets wasted.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sai kishore,4 years ago,"Service was very late and bad. Went for lunch, seems shortage of staff. Most of the main course items were not there.",,,
pavan kumar,5 years ago,They have to improve taste on main course and starters as well. Because it's boring as since last few years having same taste.,Response from the owner,5 years ago,"Hi,

Thank you for sharing your feedback, we would request you to share your contact …"
Krishnamraju Maladi,6 years ago,Worst service and food was not at all good....AB's lost the hospitality completely.....There is no greeting's from staff.It was so good before a year.When my last visit to this place is very bad experience .No one is looking at people who are eating.Too much of crowd in this place .Not recommend for further to any.,,,
Khushal Vaishnav,4 years ago,The Food wasn't served HOT. Taste wasn't at all good for the Vegetarians.Menu of Main course dishes were also less.,,,
Abdul Mohi Mohammed,2 years ago,Good place to be at but the waiters lied and did not serve thier signature dish Pineapple well. …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
akshay yerra,2 years ago,Not all items are available on weekends and low service level by management should improve better,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
teja gangadhar,3 years ago,"Food taste was not up to the mark, and lack of varieties, and serving is little bit slow.",,,
Ajay Kumar,6 years ago,"We used to go AB'S Jubilee hills branch, hospitality and food was very good over there. But these are not good in Gachibowli branch.",,,
Sri.,5 years ago,Highly crowded and service was too slow. Part of meet is not prepared and served raw. Ambiance is also not that expected.,Response from the owner,5 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Bhavya Bhatnagar,6 years ago,"Extremely crowded place with sub standard food. The service is erratic, air conditioning doesnt work, the music is painful.",Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Saurabh Kumar,6 years ago,Good food..but very bad service. Probably the worst I have seen for any Barbecue place.,,,
Vivek Kumar,3 years ago,Not so good experience as compared to other bbq places. Starters were not up to the mark. Place is small and congested.,Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Meghana Malwath,7 years ago,Amenities and welcome drink was good. Staff were friendly but non veg food was no way tastier.,Response from the owner,7 years ago,"Dear Guest

Thank you for reviewing us. We indeed Look in to the Area of Improvements as …"
raji,2 years ago,"Too much crowded, very slow service,  food variety not so wide,BBQ Nation is better",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Kevin Babu,6 years ago,"Won't recommend. If you badly want to have barbeque and very tight in budget, you may want to visit here",,,
Ashokkumar Modadugu,a year ago,Food not upto the mark need to improve quality,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-288053) on …"
srikanth badha,6 years ago,"I didn't like the food, as the barbeque grill which was served was over cooked. Most of the menu items of the grill we're also not that great",Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Anirudh Chintha,5 years ago,The only thing that was better were the veg starters. The rest are below par. Wouldn't suggest to go there,,,
Mohammed Khan,3 years ago,"Did not meet my taste expectations, Service was very good",,,
Prakash Ranjan Patra,2 years ago,They have degraded the quality. The taste is not good.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Shantanu Bandari,3 years ago,Food Taste goes down not up to the expectations after the lockdown. Very disappointed this time.,,,
Avadhut Mulay,4 years ago,Place is good. Food quality and taste is average.,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Srinandan sarma,4 years ago,Only pineapple was good.. everything else was very salty.. ordered again .. but same result,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
prasad goud,5 years ago,Not really good experience I have been there for different branches of AB's but i got worst experience from gachibowli branch,,,
Sujata M,5 years ago,"Very limited list of items in menu, nothing like barbecue, ok ambience but food is not at all appealing, much of it was undercooked hence not that great.",,,
Rajendra Sahu,6 years ago,Losing edge.. wasn't able to manage and serve all tables properly .. also waiters were rude and unresponsive,,,
srinivasulu papanaboina,5 years ago,"Food quality is not good ,it used to be good but now not maintaining that quality ,served stale non veg starters.",Response from the owner,5 years ago,"Hi,

We regret the inconvenience you had to face. For better assistance request you …"
Aruna Joshi,6 years ago,Not that great and sevices are pathetic waiters just dont listen IGNORE feedback as well,,,
Sravanth Valluri,2 years ago,Taste and  Quality totally off. Lost its charm.,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Bipul Raj,7 years ago,Taste of food is good since last visit 1 yr back,,,
vanshraj kovoor,7 years ago,"Dude, you keep bugging me asking how the food was. And then force me to eat the food I didn't like by cooking the same again. And then ask me AGAIN how the food is? The food is terrible.",,,
Aashish Choyal,6 years ago,Disappointing... Food was alright but pricing was set high... Too high for a place that doesn't serve grills,,,
ismail mohammed (Izzy),3 years ago,Overrated,Response from the owner,3 years ago,"""Hi, Ismail Mohammed,

We regret the inconvenience you had faced and request you to share your contact …"
Jeevan Daniel,7 years ago,,Response from the owner,7 years ago,"Dear Guest

We sincerely apologies for the inconvenience. We are indeed concerned on the …"
SHAMS unnisa,3 years ago,Not god,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Akhilesh Sureen,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Nithin Reddy Bogi,2 years ago,,,,
srikanthreddy janga,2 years ago,,,,
Mahesh Chandra,2 years ago,,,,
Abdul Jaleel,2 years ago,,,,
Michor Lu,2 years ago,,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
AR RAJA,2 years ago,,,,
Rahul M P,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
karumanchi swathi,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Abhiram T,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Ammu 22,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sasanth,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
shaik zaheer,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Shaik Fathima,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
nandimalla ritesh,2 years ago,,,,
raju B,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
SUNIL KUMAR,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Shobhit Kumar,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sreenija Reddy,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
SAHERA BEGUM KHAN,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vijaya Laxmi,2 years ago,,,,
tharun kumar,a week ago,,,,
Mohammed Abdul Azeez,3 weeks ago,,,,
vamsikrishna chowdary,2 months ago,,,,
Rvr,2 months ago,,,,
Praveen Kumar,3 months ago,,,,
Abdul Monaim Mohammed,3 months ago,,,,
Rambabu G,3 months ago,,,,
Ajay Teja,3 months ago,,,,
Tanay Chaudhari,3 months ago,,,,
Vijay phanindra Matha,4 months ago,,,,
saikiran mulagiri,4 months ago,,,,
PREETHAM SP,4 months ago,,,,
Hemanth Krishna,4 months ago,,,,
Mallikarjun Jangam Vibuti,4 months ago,,,,
teleti mahender,4 months ago,,,,
Nampally Nikhilesh,4 months ago,,,,
Mounika Pallanti,4 months ago,,,,
Vivek Sharma,4 months ago,,,,
karthik kumar,5 months ago,,,,
Chakradhar Reddy,5 months ago,,,,
sumit sachdeva,5 months ago,,,,
Durgesh Appala,5 months ago,,,,
srinivas polumari,6 months ago,,,,
Shyam Prasad Bandi,7 months ago,,,,
Vamshi Krishna,7 months ago,,,,
Sahjahan ali,7 months ago,,,,
Kurra Grovar,7 months ago,,,,
Karthik Indreesh,8 months ago,,,,
Hussain Mukadam,8 months ago,,,,
Karan Bhatt,8 months ago,,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-354629   ) on …"
Saikiran Official,9 months ago,,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-342908) on …"
Jannapally Vandana,9 months ago,,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-342056) on …"
anand kumar Annavarapu,9 months ago,,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-340467) on …"
Nichenametla Neeraj,10 months ago,,Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-333880) on …"
nag raj,10 months ago,,Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-333849) on …"
Lakshmi Prakash,10 months ago,,Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-328635) on …"
Srinivas nallavelli,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-312540) on …"
Sudheer Molakala,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-312486) on …"
Srilaxmi Vasa,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-303158) on …"
Sriharsha Nanduri,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-293085) on …"
Niraj Barnwal,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-261730) on …"
vivek gaddam,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-261107) on …"
supriya narendrula,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-264692) on …"
LoonyBin Appstore,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-256607) on …"
Anusha Bussu,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-255939 ) on …"
Dinesh Reddy,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Aditya pandey,2 years ago,,,,
NELSON JACOB,2 years ago,,,,
k sai shankar,2 years ago,,,,
Chenna Siva,2 years ago,,,,
vishal Raj,2 years ago,,,,
Avinash Bheemavarapu,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
ajith reddy thotapally,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Karthik Mutyala,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
